null,null,지수명,현재가,null,전일비,등락률(%),시가지수,고가지수,저가지수,전체종목수,거래종목수,상승,상한,하락,하한,보합,거래량(천주),거래대금(백만원),상장시가총액(원)
1,157,(유) 코스피 200 생활소비재,"1,154.12",1,"7.46","0.65","1,146.83","1,154.28","1,139.97","30","30","8","0","19","0","3","25,326","861,261","118,601,773,045,740"
1,158,(유) 코스피 200 경기소비재,"1,612.59",2,"13.11","-0.81","1,625.63","1,625.68","1,603.10","36","36","9","0","26","0","1","11,559","737,998","175,212,873,033,320"
1,159,(유) 코스피 200 산업재,"514.70",1,"0.63","0.12","515.06","517.30","510.91","20","20","7","0","13","0","0","39,163","841,604","49,893,419,773,715"
1,160,(유) 코스피 200 헬스케어,"3,136.83",1,"46.99","1.52","3,094.30","3,137.53","3,080.64","18","18","11","1","7","0","0","27,897","2,786,494","158,452,909,316,500"
1,167,(유) 코스피 200 중소형주,"1,122.02",1,"12.31","1.11","1,112.34","1,122.17","1,105.07","100","100","39","1","57","0","4","115,943","3,629,739","143,274,957,745,320"
1,182,(유) 코스피 200 초대형제외 지수,"272.39",1,"0.30","0.11","272.35","272.48","269.38","199","199","74","1","117","0","8","220,286","9,797,032","1,231,864,823,190,430"
1,224,(유) 코스피 200 비중상한 30%,"371.41",2,"0.51","-0.14","371.53","371.96","367.48","200","200","74","1","118","0","8","244,580","11,574,245","1,669,449,884,105,430"
1,227,(유) 코스피 200 비중상한 25%,"367.70",2,"0.36","-0.10","367.79","368.17","363.78","200","200","74","1","118","0","8","244,580","11,574,245","1,669,449,884,105,430"
1,232,(유) 코스피 200 비중상한 20%,"357.92",2,"0.21","-0.06","357.98","358.32","354.08","200","200","74","1","118","0","8","244,580","11,574,245","1,669,449,884,105,430"
1,244,(유) 코스피200제외 코스피지수,"3,320.28",1,"5.05","0.15","3,316.90","3,325.13","3,301.34","595","586","225","2","316","0","45","761,875","4,257,218","158,973,478,746,825"
2,001,(코) 코스닥 (외국주포함),"-",,"-","-","-","-","-","1,465","1,387","612","3","683","0","92","2,650,706","16,016,013","375,215,635,852,649"
2,002,(코) 코스닥 대형주,"2,049.91",1,"10.88","0.53","2,032.82","2,068.55","2,032.31","100","99","55","0","41","0","3","82,366","3,754,051","156,736,319,509,235"
Z,002,(코) 코스닥지수,"944.04",1,"4.39","0.47","938.88","948.43","938.88","1,444","1,370","604","3","676","0","90","2,632,763","15,815,709","371,434,789,128,735"
2,003,(코) 코스닥 중형주,"846.40",1,"5.66","0.67","841.47","848.55","841.12","299","294","141","0","136","0","17","470,301","3,639,985","95,747,125,974,440"
2,004,(코) 코스닥 소형주,"3,048.70",1,"7.82","0.26","3,043.47","3,050.36","3,035.57","948","882","370","3","455","0","57","2,010,606","6,814,793","94,379,809,934,355"
2,012,(코) 기타서비스,"4,121.47",2,"3.56","-0.09","4,124.18","4,153.95","4,110.68","94","90","35","0","50","0","5","114,151","1,576,129","40,017,799,504,751"
2,015,(코) 코스닥 IT,"1,114.06",1,"8.50","0.77","1,106.55","1,118.64","1,106.24","473","444","221","0","198","0","25","791,763","4,218,397","122,439,015,683,349"
2,024,(코) 제조업,"3,099.02",1,"18.11","0.59","3,082.41","3,107.53","3,080.53","639","615","252","2","325","0","38","1,270,806","7,961,169","152,118,680,136,434"
2,026,(코) 건설,"84.28",1,"0.70","0.84","83.69","84.38","82.68","25","25","8","0","16","0","1","50,251","268,782","3,138,896,486,000"
2,027,(코) 유통,"758.65",1,"0.06","0.01","748.28","768.21","747.19","85","78","34","1","42","0","2","117,071","813,737","35,345,079,094,149"
